Exportaciones Reales (COP),Exportaciones Predichas (COP)
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
1.24595349e-05,9.5021205e-05
2.07658915e-05,9.5021205e-05
0.0,9.5021205e-05
9.13699226e-05,9.5021205e-05
2.49190698e-05,9.5021205e-05
0.0,9.5021205e-05
4.1531783e-06,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0001287485272999,9.5021205e-05
4.1531783e-06,9.5021205e-05
0.0002948756592999,9.5021205e-05
0.0,9.5021205e-05
2.49190698e-05,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
4.1531783e-06,9.5021205e-05
0.0,9.5021205e-05
0.0001495144187999,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
1.66127132e-05,9.5021205e-05
0.0,9.5021205e-05
2.90722481e-05,9.5021205e-05
0.0,9.5021205e-05
0.0001329017056,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
4.1531783e-06,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
1.24595349e-05,9.5021205e-05
0.0,9.5021205e-05
0.0003779392252999,9.5021205e-05
0.0,9.5021205e-05
0.0002159652715999,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
5.399131789999999e-05,9.5021205e-05
0.0002367311630999,9.5021205e-05
0.0,9.5021205e-05
3.32254264e-05,9.5021205e-05
0.0,9.5021205e-05
7.89103877e-05,9.5021205e-05
4.1531783e-06,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
8.306356599999999e-05,9.5021205e-05
0.0001287485272999,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0010299882183999,9.5021205e-05
0.0,9.5021205e-05
0.0003779392252999,9.5021205e-05
0.0007018871327,9.5021205e-05
4.1531783e-06,9.5021205e-05
0.0001204421706999,9.5021205e-05
0.0,9.5021205e-05
0.0,9.5021205e-05
0.0018813897699,0.0016823524
0.0,9.5021205e-05
0.0,9.5021205e-05
8.3063566e-06,9.5021205e-05
0.0002782629461,9.5021205e-05
0.0007766443420999,9.5021205e-05
1.66127132e-05,9.5021205e-05
7.89103877e-05,9.5021205e-05
0.0003820924035999,9.5021205e-05
0.0004776155044999,9.5021205e-05
4.1531783e-06,9.5021205e-05
1.24595349e-05,9.5021205e-05
